epoch,train_loss,train_acc,val_loss,val_acc,lr,time
131,0.4007,0.8875,0.6001,0.8084,0.012500,0.12
132,0.4005,0.8881,0.5984,0.8101,0.012500,0.09
133,0.3996,0.8889,0.5981,0.8133,0.012500,0.08
134,0.3996,0.8887,0.5990,0.8101,0.012500,0.06
135,0.3988,0.8891,0.5979,0.8149,0.012500,0.07
136,0.3986,0.8897,0.5978,0.8101,0.012500,0.07
137,0.3980,0.8893,0.5979,0.8149,0.012500,0.08
138,0.3976,0.8899,0.5972,0.8133,0.012500,0.08
139,0.3972,0.8893,0.5978,0.8117,0.012500,0.07
140,0.3967,0.8899,0.5970,0.8084,0.012500,0.06
141,0.3962,0.8905,0.5971,0.8101,0.012500,0.07
142,0.3958,0.8899,0.5972,0.8133,0.012500,0.07
143,0.3954,0.8895,0.5975,0.8068,0.012500,0.07
144,0.3950,0.8905,0.5964,0.8149,0.012500,0.06
145,0.3943,0.8903,0.5965,0.8101,0.012500,0.06
146,0.3938,0.8911,0.5957,0.8084,0.012500,0.05
147,0.3933,0.8899,0.5959,0.8117,0.012500,0.06
148,0.3931,0.8921,0.5958,0.8068,0.012500,0.06
149,0.3926,0.8921,0.5966,0.8133,0.012500,0.06
150,0.3921,0.8901,0.5952,0.8166,0.012500,0.08
151,0.3921,0.8905,0.5957,0.8068,0.012500,0.30
152,0.3912,0.8919,0.5962,0.8117,0.012500,0.09
153,0.3911,0.8927,0.5946,0.8149,0.012500,0.12
154,0.3909,0.8923,0.5960,0.8101,0.012500,0.11
155,0.3899,0.8927,0.5946,0.8101,0.012500,0.10
156,0.3895,0.8937,0.5947,0.8149,0.012500,0.09
157,0.3890,0.8927,0.5948,0.8068,0.012500,0.09
158,0.3884,0.8925,0.5953,0.8084,0.006250,0.09
159,0.3880,0.8935,0.5947,0.8133,0.006250,0.06
160,0.3877,0.8931,0.5943,0.8149,0.006250,0.07
161,0.3874,0.8939,0.5940,0.8133,0.006250,0.08
162,0.3873,0.8939,0.5942,0.8117,0.006250,0.06
163,0.3872,0.8937,0.5945,0.8101,0.006250,0.07
164,0.3868,0.8933,0.5942,0.8117,0.006250,0.07
165,0.3866,0.8943,0.5941,0.8149,0.006250,0.06
166,0.3863,0.8935,0.5940,0.8133,0.003125,0.06
167,0.3861,0.8941,0.5941,0.8101,0.003125,0.08
168,0.3860,0.8947,0.5939,0.8101,0.003125,0.06
169,0.3859,0.8941,0.5936,0.8117,0.003125,0.07
170,0.3858,0.8937,0.5935,0.8133,0.003125,0.05
171,0.3857,0.8945,0.5935,0.8133,0.003125,0.07
172,0.3855,0.8945,0.5936,0.8133,0.003125,0.06
173,0.3855,0.8935,0.5939,0.8117,0.003125,0.06
174,0.3853,0.8939,0.5935,0.8133,0.003125,0.06
175,0.3852,0.8941,0.5933,0.8133,0.001563,0.10
176,0.3851,0.8939,0.5934,0.8117,0.001563,0.06
177,0.3850,0.8941,0.5934,0.8117,0.001563,0.06
178,0.3850,0.8937,0.5934,0.8117,0.001563,0.07
179,0.3849,0.8941,0.5934,0.8117,0.001563,0.10
180,0.3848,0.8947,0.5934,0.8133,0.000781,0.09
181,0.3848,0.8945,0.5934,0.8133,0.000781,0.08
182,0.3848,0.8943,0.5934,0.8133,0.000781,0.06
