house,sale_id,lot_id,lot_number,raw_width,raw_height,purpose
cng_feature,Auction 91,737893,216260,500,236,weld_ab
cng_feature,Auction 91,737899,216266,500,249,weld_ab
cng_feature,Auction 91,737905,216272,500,230,weld_ab
cng_feature,Auction 91,737912,216279,500,252,weld_ab
cng_feature,Auction 91,737918,216285,500,265,weld_ab
cng_feature,Auction 91,737924,216291,500,257,weld_ab
cng_feature,Auction 91,737930,216297,500,245,weld_ab
cng_feature,Auction 91,737936,216303,500,238,weld_ab
cng_feature,Auction 91,737942,216309,500,240,weld_ab
cng_feature,Auction 91,737949,216316,500,248,weld_ab
cng_feature,Auction 91,737955,216322,500,233,weld_ab
cng_feature,Auction 91,737961,216328,500,232,weld_ab
cng_feature,Auction 91,737967,216334,500,239,weld_ab
cng_feature,Auction 91,737973,216340,500,246,weld_ab
cng_feature,Auction 91,737979,216346,500,234,weld_ab
cng_feature,Auction 91,737986,216353,500,256,weld_ab
cng_feature,Auction 91,737992,216359,500,235,weld_ab
cng_feature,Auction 91,737998,216365,500,217,weld_ab
cng_feature,Auction 91,738004,216371,500,244,weld_ab
cng_feature,Auction 91,738010,216377,500,250,weld_ab
cng_feature,Auction 91,738016,216383,500,224,weld_ab
cng_feature,Auction 91,738023,216390,500,218,weld_ab
cng_feature,Auction 91,738029,216396,500,244,weld_ab
cng_feature,Auction 91,738035,216402,500,236,weld_ab
cng_feature,Auction 91,738041,216408,500,244,weld_ab
cng_feature,Auction 91,738047,216414,500,225,weld_ab
cng_feature,Auction 91,738053,216420,500,240,weld_ab
cng_feature,Auction 91,738060,216427,500,249,weld_ab
cng_feature,Auction 91,738066,216433,500,242,weld_ab
cng_feature,Auction 91,738072,216439,500,241,weld_ab
cng_feature,Auction 91,738078,216445,500,243,weld_ab
cng_feature,Auction 91,738084,216451,500,241,weld_ab
cng_feature,Auction 91,738090,216457,500,240,weld_ab
cng_feature,Auction 91,738097,216464,500,243,weld_ab
cng_feature,Auction 91,738103,216470,500,241,weld_ab
cng_feature,Auction 91,738109,216476,500,242,weld_ab
cng_feature,Auction 91,738115,216482,500,240,weld_ab
cng_feature,Auction 91,738121,216488,500,234,weld_ab
cng_feature,Auction 91,738127,216494,500,234,weld_ab
leu,75,686743,1,1200,545,leu_ab
leu,75,686761,19,1110,600,leu_ab
leu,75,686780,38,1193,600,leu_ab
leu,75,686799,57,1200,572,leu_ab
leu,75,686818,76,1159,600,leu_ab
leu,75,686836,94,1200,594,leu_ab
leu,75,686855,113,1200,595,leu_ab
leu,75,686874,132,1200,583,leu_ab
leu,75,686893,151,1177,600,leu_ab
leu,75,686911,169,1168,600,leu_ab
leu,75,686930,188,1200,579,leu_ab
leu,75,686949,207,1200,544,leu_ab
leu,75,686968,226,1200,592,leu_ab
leu,75,686986,244,1200,596,leu_ab
leu,75,687005,263,1200,597,leu_ab
leu,75,687024,282,1200,593,leu_ab
leu,75,687043,301,1200,589,leu_ab
leu,75,687061,319,1200,584,leu_ab
leu,75,687080,338,1200,579,leu_ab
leu,75,687099,357,1187,600,leu_ab
leu,75,687118,376,1196,600,leu_ab
leu,75,687136,394,1200,588,leu_ab
leu,75,687155,413,1200,562,leu_ab
leu,75,687174,432,1197,600,leu_ab
leu,75,687193,451,1116,600,leu_ab
leu,75,687212,470,1198,600,leu_ab
leu,75,687230,488,1200,600,leu_ab
leu,75,687249,507,1200,597,leu_ab
