house,sale_id,lot_id,lot_number,w,h,outcome_changed,binary_iou,alpha_iou,control.ndets,control.hough,control.blobs_post_close,control.bboxes,control.sliver_pairs,control.sliver_contour_px,control.sliver_contour_frac,control.sliver_circle_px,control.sliver_circle_frac,auto.ndets,auto.hough,auto.blobs_post_close,auto.bboxes,auto.sliver_pairs,auto.sliver_contour_px,auto.sliver_contour_frac,auto.sliver_circle_px,auto.sliver_circle_frac
leu,75,687474,732,1191,600,1,0.91143,0.8744,2,1,1,"0,0,629,600;593,0,594,592",2,0,0.0,0,0.0,3,0,4,"8,28,582,564;598,18,585,563;269,10,81,13",6,0,0.0,1494,1.0
leu,75,687493,751,1193,600,1,0.9275,0.94179,2,0,2,"13,21,587,567;601,16,581,568",2,4,2e-05,2,1e-05,2,0,3,"606,16,576,568;34,48,535,535",2,0,0.0,0,0.0
leu,75,687512,770,1107,600,0,0.93806,1.0,2,1,1,"0,0,572,562;527,0,580,578",2,0,0.0,0,0.0,2,1,1,"0,0,572,562;527,0,580,578",2,0,0.0,0,0.0
leu,75,687530,788,1175,600,1,0.97263,0.94848,2,0,2,"9,15,583,571;604,10,562,581",2,0,0.0,2920,0.0113,2,0,2,"9,19,572,572;604,10,562,581",2,0,0.0,1657,0.00646
leu,75,687549,807,1200,590,0,0.94911,1.0,2,1,1,"0,0,586,590;563,0,636,590",2,0,0.0,0,0.0,2,1,1,"0,0,586,590;563,0,636,590",2,0,0.0,0,0.0
leu,75,687568,826,1200,576,1,0.93091,0.83129,2,1,1,"23,0,596,576;597,0,600,576",2,0,0.0,0,0.0,2,0,2,"603,14,590,556;7,11,587,554",2,0,0.0,3,1e-05
leu,75,687587,845,1200,585,0,0.95637,1.0,2,1,1,"0,0,589,585;614,0,586,585",2,0,0.0,0,0.0,2,1,1,"0,0,589,585;614,0,586,585",2,0,0.0,0,0.0
leu,75,687605,863,1175,600,0,0.92462,1.0,2,1,1,"0,13,577,587;561,0,614,600",2,0,0.0,0,0.0,2,1,1,"0,13,577,587;561,0,614,600",2,0,0.0,0,0.0
leu,75,687624,882,1200,583,1,0.93138,0.89997,2,1,1,"8,0,622,583;575,0,625,583",2,0,0.0,0,0.0,2,0,2,"6,8,584,569;599,7,595,570",2,0,0.0,0,0.0
leu,75,687643,901,1200,539,1,0.95436,0.94805,2,0,2,"610,26,571,492;19,26,565,495",2,0,0.0,0,0.0,2,0,2,"610,26,571,492;41,18,523,524",2,0,0.0,0,0.0
