id,side,contour_idx,area_frac_frame,circularity,area_ratio,enc_r,roi_w,roi_h,roi_px,touches_border,geo_conf,geo_wall_s,geo_cpu_s,hough_ran,hough_found,hough_conf,hough_wall_s,hough_cpu_s,recover_wall_s,recover_cpu_s,final_conf,accepted,branch,iou_vs_seed,radius_ratio,area_ratio_final_vs_seed
755461,rev,60,0.00014,0.2486,0.1979,22.2,50,38,1900,False,0.2782,0.017,0.046,True,False,0.0,0.001,0.003,0.017,0.049,0.2782,True,geo,0.2503,0.7283,2.4943
755461,rev,84,0.00031,0.1258,0.1769,34.9,81,45,3645,False,0.3216,0.016,0.043,True,False,0.0,0.003,0.007,0.019,0.05,0.3216,True,geo,0.302,0.6386,2.1733
755461,rev,93,0.0002,0.1813,0.1198,34.1,81,34,2754,False,0.2602,0.016,0.046,True,False,0.0,0.001,0.003,0.017,0.049,0.2602,True,geo,0.2283,0.6113,2.936
755461,rev,108,0.00033,0.2765,0.2026,33.6,80,34,2720,False,0.3281,0.016,0.046,True,False,0.0,0.001,0.003,0.017,0.049,0.3281,True,geo,0.3385,0.6397,1.9128
755461,rev,115,0.00343,0.0981,0.3799,78.7,178,185,32930,False,0.3776,0.016,0.045,True,False,0.0,0.001,0.005,0.017,0.05,0.3776,True,geo,0.5364,0.686,1.2132
755461,rev,252,0.0043,0.0399,0.0631,216.4,501,208,104208,False,0.3691,0.017,0.048,True,True,0.2156,0.02,0.074,0.037,0.122,0.3691,False,geo,,,
755461,rev,268,0.34764,0.164,0.748,565.3,1201,1250,1501250,False,0.562,0.018,0.046,True,True,0.236,46.607,141.118,46.625,141.164,0.562,True,geo,0.8873,0.8755,1.0222
755461,rev,277,0.00017,0.142,0.0821,38.3,91,33,3003,False,0.2417,0.023,0.044,True,False,0.0,0.001,0.003,0.024,0.047,0.2417,True,geo,0.1167,0.7095,5.8662
755461,rev,279,0.00022,0.1102,0.0839,42.7,100,42,4200,False,0.2543,0.018,0.046,True,False,0.0,0.001,0.003,0.019,0.049,0.2543,True,geo,0.1195,0.7419,6.3226
755461,rev,312,0.00076,0.1174,0.107,70.1,169,70,11830,False,0.2521,0.019,0.045,True,False,0.0,0.001,0.004,0.02,0.049,0.2521,True,geo,0.1785,0.6695,4.0857
755475,obv,41,0.00453,0.169,0.1892,128.3,282,178,50196,False,0.3054,0.019,0.04,True,False,0.0,0.002,0.004,0.021,0.044,0.3054,True,geo,0.3323,0.6722,2.3542
755475,obv,45,0.0045,0.109,0.1766,132.4,288,196,56448,False,0.3564,0.024,0.041,True,False,0.0,0.002,0.004,0.026,0.045,0.3564,True,geo,0.3594,0.6319,2.2304
755475,obv,168,0.00014,0.3372,0.277,18.6,41,27,1107,True,0.3371,0.016,0.039,True,False,0.0,0.001,0.003,0.017,0.042,0.3371,True,geo,0.4396,0.6906,1.5567
755475,obv,188,0.00015,0.1504,0.1968,23.1,55,38,2090,False,0.3092,0.017,0.041,True,False,0.0,0.001,0.003,0.018,0.044,0.3092,True,geo,0.2772,0.694,2.2671
755475,obv,207,0.0003,0.1096,0.1492,37.0,87,52,4524,False,0.2927,0.018,0.04,True,False,0.0,0.001,0.003,0.019,0.043,0.2927,True,geo,0.2585,0.6574,2.7576
755475,obv,209,0.00075,0.1675,0.2718,43.5,95,67,6365,True,0.3441,0.015,0.04,True,False,0.0,0.001,0.004,0.017,0.044,0.3441,True,geo,0.429,0.6327,1.4092
755475,obv,228,0.00029,0.5329,0.4498,21.0,50,31,1550,True,0.3684,0.017,0.04,True,False,0.0,0.001,0.003,0.018,0.043,0.3684,True,geo,0.7093,0.791,1.257
755475,obv,229,0.6406,0.0833,0.6209,842.3,1500,1360,2040000,True,0.4629,0.018,0.042,True,True,0.146,16.386,52.673,16.404,52.715,0.4629,True,geo,0.8281,0.7897,1.0021
755483,obv,4,0.00016,0.2483,0.2671,20.6,43,37,1591,False,0.3155,0.02,0.046,True,False,0.0,0.001,0.003,0.021,0.049,0.3155,True,geo,0.3644,0.687,1.6231
755492,obv,8,0.00102,0.1931,0.2071,58.1,127,96,12192,False,0.3471,0.016,0.038,True,False,0.0,0.001,0.004,0.017,0.042,0.3471,True,geo,0.3834,0.6327,1.8718
755492,obv,9,0.00112,0.1214,0.1364,75.0,170,108,18360,False,0.3379,0.016,0.035,True,False,0.0,0.002,0.003,0.018,0.039,0.3379,True,geo,0.3116,0.5927,2.5115
755492,obv,28,0.00158,0.2266,0.4076,51.6,97,124,12028,False,0.3911,0.021,0.04,True,False,0.0,0.001,0.004,0.022,0.044,0.3911,True,geo,0.5974,0.7437,1.3159
755492,obv,30,0.00188,0.168,0.3247,63.0,121,127,15367,False,0.3769,0.02,0.038,True,False,0.0,0.001,0.004,0.021,0.042,0.3769,True,geo,0.4767,0.7134,1.5265
755492,obv,33,0.0003,0.205,0.2456,29.0,54,60,3240,False,0.3516,0.019,0.034,True,False,0.0,0.001,0.003,0.021,0.037,0.3516,True,geo,0.3516,0.6985,1.8777
