house,sale_id,lot_id,lot_number,w,h,blobs_pre_blur,blobs_pre_close,gap_pre_blur,gap_pre_close,circ_pre_close,control.kernel,control.status,control.ndets,control.bboxes,control.hough,control.tcr_triggered,control.tcr_status,control.blobs_post_close,control.gap_post_close,control.seconds,auto.kernel,auto.status,auto.ndets,auto.bboxes,auto.hough,auto.tcr_triggered,auto.tcr_status,auto.blobs_post_close,auto.gap_post_close,auto.seconds,auto.bbox_identical,auto.ndets_delta,control.weld,auto.weld
cng_feature,Auction 91,736759,215514,500,254,2,3,7.0,35.47,0.332|0.151,7,success,2,"0,0,258,251;254,0,246,247",1,1,split,1,,4.3177,3,success,2,"250,0,248,248;0,7,241,240",0,0,,2,11.4,0.1616,0,0,0,0
cng_feature,Auction 91,736770,215520,500,225,2,2,9.0,11.0,0.767|0.875,7,success,2,"38,2,222,222;252,0,248,225",1,1,split,1,,2.6498,3,success,2,"256,0,244,225;1,5,245,216",0,0,,2,11.0,0.0076,0,0,1,0
cng_feature,Auction 91,736781,215526,500,252,2,2,8.06,9.0,0.821|0.513,7,success,2,"0,0,243,252;246,0,254,252",1,1,split,1,,4.4968,3,success,2,"259,0,238,248;0,9,251,234",0,0,,2,9.0,0.0102,0,0,1,0
cng_feature,Auction 91,736795,215533,500,249,2,2,7.0,7.0,0.873|0.898,7,success,2,"0,0,257,249;237,0,258,249",1,1,split,1,,3.5857,3,success,2,"3,0,243,249;252,6,248,236",0,0,,2,7.0,0.0073,0,0,1,0
cng_feature,Auction 91,736806,215539,500,247,2,2,12.0,13.0,0.738|0.273,7,success,2,"0,0,246,244;255,0,245,247",0,0,,2,10.0,0.0092,3,success,2,"0,4,245,238;257,4,238,234",0,0,,2,13.0,0.0093,0,0,0,0
cng_feature,Auction 91,736817,215545,500,203,2,2,15.0,14.56,0.208|0.491,7,success,2,"0,0,246,203;259,0,241,199",0,0,,2,14.56,0.0071,3,success,2,"0,3,246,196;259,1,236,196",0,0,,2,14.56,0.0733,0,0,0,0
cng_feature,Auction 91,736828,215551,500,243,2,3,7.0,9.0,0.864|0.188,7,success,2,"0,8,233,235;255,2,244,241",1,1,split,1,,3.5277,3,success,2,"0,3,247,240;255,4,245,234",0,0,,2,9.0,0.0075,0,0,0,0
cng_feature,Auction 91,736840,215557,500,263,2,2,11.0,12.0,0.72|0.705,7,success,2,"0,0,258,263;240,0,258,258",1,1,split,1,,4.1736,3,success,2,"253,3,243,253;0,0,243,257",0,0,,2,12.0,0.0089,0,0,1,0
cng_feature,Auction 91,736851,215563,500,268,2,2,7.0,9.0,0.872|0.875,7,success,2,"2,0,258,254;247,25,252,243",1,1,split,1,,5.1197,3,success,2,"0,0,246,268;254,6,246,255",0,0,,2,9.0,0.0098,0,0,1,0
cng_feature,Auction 91,736864,215570,500,250,2,2,13.15,14.0,0.852|0.24,7,success,2,"0,0,243,250;256,0,244,250",0,0,,2,14.0,0.0097,3,success,2,"0,0,243,248;256,6,240,239",0,0,,2,14.0,0.0081,0,0,0,0
cng_feature,Auction 91,736875,215576,500,224,2,2,11.05,12.0,0.856|0.095,7,success,2,"0,0,234,224;283,0,217,224",1,1,split,1,,3.0152,3,success,2,"0,0,246,224;257,4,243,217",0,0,,2,12.0,0.0078,0,0,1,0
cng_feature,Auction 91,736887,215582,500,250,2,2,10.3,12.37,0.841|0.101,7,success,2,"31,5,228,228;253,27,234,223",1,1,split,1,,3.6488,3,success,2,"0,17,260,216;290,16,205,205",0,0,,2,12.37,0.0934,0,0,1,0
cng_feature,Auction 91,736898,215588,500,257,2,2,12.0,12.17,0.304|0.113,7,success,2,"0,1,256,256;237,0,263,257",1,1,split,1,,4.3963,3,success,2,"255,9,245,242;3,0,241,252",0,0,,2,12.17,0.1693,0,0,1,0
cng_feature,Auction 91,736908,215594,500,250,2,2,7.07,7.0,0.468|0.686,7,success,2,"0,0,259,250;240,0,260,250",1,1,split,1,,3.6558,3,success,2,"254,6,246,244;0,8,248,235",0,0,,2,7.0,0.0085,0,0,1,0
cng_feature,Auction 91,736920,215600,500,248,2,2,8.0,8.0,0.712|0.099,7,success,2,"0,0,263,248;239,0,261,248",1,1,split,1,,6.5387,3,success,2,"0,0,248,248;255,0,245,248",0,0,,2,8.0,0.0095,0,0,1,0
cng_feature,Auction 91,736931,215607,500,228,3,3,9.0,7.07,0.653|0.175,7,success,2,"0,0,233,228;255,0,245,228",1,1,split,1,,4.3765,3,success,2,"0,0,247,228;275,11,212,212",0,0,,2,7.07,0.1353,0,0,0,0
cng_feature,Auction 91,736943,215613,500,238,2,2,8.0,9.0,0.637|0.358,7,success,2,"0,0,247,238;261,0,239,238",1,1,split,1,,5.18,3,success,2,"267,2,233,236;14,7,229,229",0,0,,2,9.0,0.2417,0,0,1,0
cng_feature,Auction 91,736954,215619,500,238,2,3,7.28,8.0,0.293|0.147,7,success,2,"0,0,238,238;271,0,229,237",1,1,split,1,,3.4462,3,success,2,"261,4,239,234;12,4,226,226",0,0,,2,8.0,0.1356,0,0,0,0
cng_feature,Auction 91,736965,215625,500,245,2,2,7.0,7.0,0.898|0.696,7,success,2,"0,0,256,245;241,0,259,245",1,1,split,1,,4.5604,3,success,2,"251,0,249,245;0,1,245,244",0,0,,2,7.0,0.008,0,0,1,0
cng_feature,Auction 91,736975,215631,500,247,4,2,10.05,10.44,0.832|0.835,7,success,2,"0,10,232,237;266,7,234,236",1,1,split,1,,4.2098,3,success,2,"247,5,253,236;0,0,239,247",0,0,,2,10.44,0.009,0,0,1,0
cng_feature,Auction 91,736987,215637,500,234,2,2,7.0,8.06,0.582|0.108,7,success,2,"6,0,252,234;240,0,252,234",1,1,split,1,,7.7191,3,success,2,"250,0,250,234;0,4,244,230",0,0,,2,8.06,0.0094,0,0,1,0
cng_feature,Auction 91,737000,215644,500,259,2,2,10.0,9.0,0.843|0.734,7,success,2,"3,0,248,235;259,19,240,240",1,1,split,1,,5.1938,3,success,2,"0,0,249,259;256,0,244,259",0,0,,2,9.0,0.0119,0,0,1,0
cng_feature,Auction 91,737011,215650,500,236,2,2,8.0,8.0,0.885|0.877,7,success,2,"0,0,252,236;260,0,240,236",1,1,split,1,,3.7851,3,success,2,"252,3,248,230;0,0,245,236",0,0,,2,8.06,0.0075,0,0,1,0
cng_feature,Auction 91,737022,215656,500,241,2,2,10.0,10.0,0.785|0.88,7,success,2,"0,0,262,241;246,8,246,233",1,1,split,1,,3.2944,3,success,2,"255,0,245,241;3,0,243,241",0,0,,2,10.0,0.0078,0,0,1,0
cng_feature,Auction 91,737032,215662,500,238,3,2,6.71,7.0,0.351|0.191,7,success,2,"0,0,247,238;247,0,253,238",1,1,split,1,,4.7607,3,success,2,"252,0,248,238;2,1,231,230",0,0,,2,7.0,0.1222,0,0,1,0
cng_feature,Auction 91,737043,215668,500,240,2,2,9.0,9.0,0.893|0.888,7,success,2,"0,0,247,240;237,0,263,240",1,1,split,1,,3.404,3,success,2,"252,0,248,240;0,0,245,237",0,0,,2,8.0,0.0073,0,0,1,0
cng_feature,Auction 91,737054,215674,500,244,2,2,7.0,7.0,0.859|0.862,7,success,2,"0,0,251,244;256,5,242,239",1,1,split,1,,4.0095,3,success,2,"0,0,247,244;253,5,247,235",0,0,,2,7.0,0.0067,0,0,1,0
cng_feature,Auction 91,737067,215681,500,244,3,4,21.0,22.0,0.416|0.604,7,success,2,"0,0,248,244;257,0,243,244",1,1,split,1,,3.7223,3,success,2,"252,6,248,238;7,15,225,226",0,0,,2,9.0,0.1485,0,0,0,0
cng_feature,Auction 91,737079,215687,500,255,2,2,7.07,7.62,0.388|0.278,7,success,2,"0,0,265,255;241,0,258,246",1,1,split,1,,4.1481,3,success,2,"0,3,252,248;258,5,242,250",0,0,,2,7.62,0.0077,0,0,1,0
cng_feature,Auction 91,737091,215693,500,240,2,2,7.0,8.0,0.573|0.218,7,success,2,"19,0,244,237;235,0,264,240",1,1,split,1,,3.6886,3,success,2,"8,6,240,229;254,5,246,235",0,0,,2,8.0,0.0079,0,0,1,0
cng_feature,Auction 91,737103,215699,500,244,4,2,7.0,7.0,0.654|0.481,7,success,2,"0,0,244,244;238,0,250,239",1,1,split,1,,3.7962,3,success,2,"251,0,249,244;0,7,245,232",0,0,,2,7.0,0.0078,0,0,1,0
cng_feature,Auction 91,737116,215705,500,240,2,2,8.25,8.94,0.605|0.503,7,success,2,"0,0,255,240;238,0,262,240",1,1,split,1,,5.4878,3,success,2,"256,3,244,237;0,3,249,237",0,0,,2,8.94,0.0099,0,0,1,0
cng_feature,Auction 91,737129,215711,500,248,2,2,7.0,9.0,0.152|0.202,7,success,2,"0,0,257,248;243,0,257,248",1,1,split,1,,4.096,3,success,2,"256,0,244,248;0,3,248,242",0,0,,2,9.0,0.0091,0,0,1,0
cng_feature,Auction 91,737142,215718,500,237,2,2,7.0,7.0,0.829|0.622,7,success,2,"0,0,260,237;243,0,257,237",1,1,split,1,,5.4017,3,success,2,"253,0,247,237;0,0,247,237",0,0,,2,7.0,0.0065,0,0,1,0
cng_feature,Auction 91,737154,215724,500,228,2,2,6.0,17.09,0.636|0.533,7,success,2,"0,0,245,228;248,0,252,228",1,1,split,1,,4.8584,3,success,2,"0,0,247,228;262,1,235,227",0,0,,2,17.09,0.0076,0,0,1,0
cng_feature,Auction 91,737166,215730,500,234,2,2,7.07,7.0,0.655|0.666,7,success,2,"0,0,239,234;242,0,250,234",1,1,split,1,,5.1442,3,success,2,"0,3,247,231;253,0,247,234",0,0,,2,7.0,0.0072,0,0,1,0
cng_feature,Auction 91,737179,215736,500,243,3,2,7.0,7.0,0.477|0.3,7,success,2,"0,6,242,237;257,0,243,243",1,1,split,1,,3.9366,3,success,2,"0,0,244,243;258,8,232,232",0,0,,2,7.0,0.1827,0,0,1,0
cng_feature,Auction 91,737191,215742,500,259,3,3,7.07,9.22,0.688|0.351,7,success,2,"0,0,256,259;238,0,262,259",1,1,split,1,,4.4625,3,success,2,"254,0,246,259;0,4,246,251",0,0,,2,9.22,0.0081,0,0,0,0
cng_feature,Auction 91,737203,215748,500,236,2,2,7.0,5.39,0.824|0.814,7,success,2,"0,0,246,236;241,0,259,236",1,1,split,1,,3.4467,3,success,2,"252,0,248,236;0,5,248,226",0,0,,2,5.39,0.0062,0,0,1,0
cng_feature,Auction 91,737217,215755,500,247,2,2,7.0,7.0,0.896|0.887,7,success,2,"0,0,248,247;262,7,238,240",1,1,split,1,,3.658,3,success,2,"250,0,247,247;0,1,244,246",0,0,,2,7.0,0.0072,0,0,1,0
cng_feature,Auction 91,737230,215761,500,240,2,2,7.62,7.0,0.883|0.875,7,success,2,"0,0,260,240;248,0,252,240",1,1,split,1,,3.7133,3,success,2,"253,0,247,240;0,0,247,240",0,0,,2,7.0,0.0079,0,0,1,0
cng_feature,Auction 91,737241,215767,500,238,2,2,8.54,8.0,0.882|0.693,7,success,2,"0,0,232,236;249,0,251,238",1,1,split,1,,5.0572,3,success,2,"253,0,247,238;0,0,246,238",0,0,,2,8.54,0.0071,0,0,1,0
cng_feature,Auction 91,737253,215773,500,239,2,2,8.06,7.07,0.888|0.882,7,success,2,"14,0,250,239;253,0,247,239",1,1,split,1,,5.242,3,success,2,"0,4,250,231;256,0,244,239",0,0,,2,7.07,0.0065,0,0,1,0
cng_feature,Auction 91,737266,215779,500,234,2,2,8.0,8.0,0.858|0.845,7,success,2,"0,0,241,234;268,0,230,228",1,1,split,1,,3.2757,3,success,2,"0,0,246,234;253,0,247,234",0,0,,2,8.0,0.0077,0,0,1,0
cng_feature,Auction 91,737278,215785,500,238,2,2,10.05,10.0,0.886|0.881,7,success,2,"0,0,241,238;246,0,254,238",1,1,split,1,,5.3818,3,success,2,"255,0,245,235;0,0,246,238",0,0,,2,10.0,0.008,0,0,1,0
cng_feature,Auction 91,737292,215792,500,235,2,2,8.0,9.0,0.884|0.881,7,success,2,"0,0,240,235;253,0,240,233",1,1,split,1,,4.7482,3,success,2,"252,0,248,235;0,0,245,235",0,0,,2,8.0,0.0074,0,0,1,0
cng_feature,Auction 91,737305,215798,500,234,2,2,7.0,6.71,0.875|0.888,7,success,2,"0,0,259,234;256,0,238,224",1,1,split,1,,3.3125,3,success,2,"0,0,248,234;253,3,247,228",0,0,,2,6.71,0.0064,0,0,1,0
cng_feature,Auction 91,737317,215804,500,239,2,2,7.62,6.0,0.886|0.899,7,success,2,"0,0,263,239;255,0,245,239",1,1,split,1,,3.7187,3,success,2,"252,0,248,239;0,3,248,236",0,0,,2,6.0,0.0087,0,0,1,0
cng_feature,Auction 91,737329,215810,500,238,2,2,8.0,6.0,0.897|0.895,7,success,2,"0,0,242,238;254,0,246,234",1,1,split,1,,3.9369,3,success,2,"251,0,249,238;0,0,246,238",0,0,,2,6.0,0.0078,0,0,1,0
cng_feature,Auction 91,737342,215816,500,251,2,2,10.0,10.05,0.871|0.872,7,success,2,"2,1,258,250;247,0,253,251",1,1,split,1,,4.4785,3,success,2,"0,0,246,251;255,6,245,238",0,0,,2,10.05,0.008,0,0,1,0
cng_feature,Auction 91,737353,215822,500,236,2,2,7.0,7.0,0.855|0.856,7,success,2,"1,0,258,236;238,0,262,236",1,1,split,1,,5.4508,3,success,2,"0,0,248,236;254,0,246,236",0,0,,2,7.0,0.0082,0,0,1,0
cng_feature,Auction 91,737368,215829,500,229,2,2,10.0,9.0,0.884|0.894,7,success,2,"0,0,252,229;240,0,258,229",1,1,split,1,,3.0917,3,success,2,"0,0,247,229;255,0,245,229",0,0,,2,9.0,0.0076,0,0,1,0
cng_feature,Auction 91,737380,215835,500,258,2,2,8.0,9.0,0.888|0.891,7,success,2,"0,0,258,258;239,0,261,258",1,1,split,1,,4.6547,3,success,2,"254,0,246,258;0,0,247,258",0,0,,2,8.0,0.0069,0,0,1,0
cng_feature,Auction 91,737392,215841,500,238,6,2,7.28,6.0,0.885|0.677,7,success,2,"18,0,248,238;241,0,238,237",1,1,split,1,,3.7186,3,success,2,"0,8,251,222;256,0,244,238",0,0,,2,6.0,0.0084,0,0,1,0
cng_feature,Auction 91,737404,215847,500,229,2,2,8.0,7.0,0.847|0.864,7,success,2,"0,0,239,229;264,0,236,229",1,1,split,1,,2.884,3,success,2,"0,0,247,229;253,3,247,223",0,0,,2,7.0,0.0073,0,0,1,0
cng_feature,Auction 91,737415,215853,500,230,2,2,6.08,6.0,0.85|0.701,7,success,2,"0,0,243,230;245,0,255,230",1,1,split,1,,3.4035,3,success,2,"252,3,248,227;0,6,247,221",0,0,,2,6.0,0.0083,0,0,1,0
cng_feature,Auction 91,737427,215859,500,237,2,2,8.0,8.06,0.892|0.888,7,success,2,"0,0,242,237;236,0,254,237",1,1,split,1,,3.7223,3,success,2,"252,0,248,237;0,0,245,237",0,0,,2,8.0,0.0077,0,0,1,0
cng_feature,Auction 91,737441,215866,500,222,2,2,7.0,6.0,0.872|0.878,7,success,2,"0,0,227,222;256,0,244,222",1,1,split,1,,4.1634,3,success,2,"250,0,250,222;0,0,245,222",0,0,,2,6.0,0.007,0,0,1,0
cng_feature,Auction 91,737452,215872,500,227,2,2,7.0,7.0,0.677|0.465,7,success,2,"19,0,234,219;290,0,210,216",1,1,split,1,,4.8264,3,success,2,"0,6,248,221;254,6,246,221",0,0,,2,7.0,0.0076,0,0,1,0
cng_feature,Auction 91,737463,215878,500,230,2,2,7.07,7.0,0.875|0.861,7,success,2,"0,0,235,230;237,0,256,230",1,1,split,1,,3.0777,3,success,2,"251,0,249,230;0,0,245,227",0,0,,2,7.0,0.0078,0,0,1,0
cng_feature,Auction 91,737475,215884,500,220,2,2,7.0,6.71,0.87|0.66,7,success,2,"20,0,242,220;265,0,235,220",1,1,split,1,,4.5654,3,success,2,"253,0,247,220;0,0,248,220",0,0,,2,6.71,0.0139,0,0,1,0
cng_feature,Auction 91,737486,215890,500,243,2,2,6.0,7.28,0.883|0.886,7,success,2,"0,0,250,243;246,0,254,243",1,1,split,1,,6.404,3,success,2,"0,0,244,243;249,5,251,233",0,0,,2,7.28,0.0086,0,0,1,0
cng_feature,Auction 91,737498,215896,500,237,2,2,7.0,7.0,0.867|0.885,7,success,2,"0,0,253,237;237,0,256,237",1,1,split,1,,5.71,3,success,2,"0,0,248,237;253,0,247,237",0,0,,2,7.0,0.0069,0,0,1,0
cng_feature,Auction 91,737509,215902,500,233,2,2,8.54,8.0,0.89|0.889,7,success,2,"4,0,242,230;238,5,238,228",1,1,split,1,,3.4338,3,success,2,"252,0,248,233;0,0,246,233",0,0,,2,8.0,0.0068,0,0,1,0
cng_feature,Auction 91,737522,215909,500,229,2,2,8.54,8.06,0.737|0.897,7,success,2,"0,0,248,229;238,0,254,229",1,1,split,1,,5.2369,3,success,2,"253,0,247,229;0,3,247,223",0,0,,2,8.06,0.0078,0,0,1,0
