house,sale_id,lot_id,lot_number,w,h,blobs_pre_blur,blobs_pre_close,gap_pre_blur,gap_pre_close,circ_pre_close,control.kernel,control.status,control.ndets,control.bboxes,control.hough,control.tcr_triggered,control.tcr_status,control.blobs_post_close,control.gap_post_close,control.seconds,auto.kernel,auto.status,auto.ndets,auto.bboxes,auto.hough,auto.tcr_triggered,auto.tcr_status,auto.blobs_post_close,auto.gap_post_close,auto.seconds,0.0042.kernel,0.0042.status,0.0042.ndets,0.0042.bboxes,0.0042.hough,0.0042.tcr_triggered,0.0042.tcr_status,0.0042.blobs_post_close,0.0042.gap_post_close,0.0042.seconds,auto.bbox_identical,auto.ndets_delta,0.0042.bbox_identical,0.0042.ndets_delta,control.weld,auto.weld,0.0042.weld
leu,75,687268,526,1186,600,5,4,10.44,12.0,0.239|0.127,7,success,2,"0,0,578,569;607,0,579,596",1,1,split,1,,46.5385,3,success,2,"9,22,578,570;619,61,524,525",0,0,,3,12.0,8.1124,5,success,2,"9,22,578,570;598,25,580,553",0,0,,2,12.0,0.1328,0,0,0,0,0,0,0
leu,75,687287,545,1200,590,2,2,23.19,16.49,0.29|0.23,7,success,2,"605,11,586,569;10,13,581,564",0,0,,2,16.49,0.0321,3,success,2,"605,11,586,569;10,13,581,564",0,0,,2,16.49,0.0355,5,success,2,"605,11,586,569;10,13,581,564",0,0,,2,16.49,0.0461,1,0,1,0,0,0,0
leu,75,687305,563,1200,467,4,2,13.0,13.93,0.037|0.051,7,success,1,"12,13,1178,444",0,0,,1,,44.7208,3,success,2,"606,15,584,442;78,-5,437,436",0,0,,2,13.0,10.8395,5,success,2,"606,13,584,444;12,19,582,435",0,0,,2,13.93,12.3933,0,1,0,1,1,0,0
leu,75,687324,582,1081,600,2,3,14.0,14.0,0.575|0.33,7,success,2,"10,10,523,580;521,35,524,523",0,0,,3,14.0,6.6484,3,success,2,"10,10,523,580;524,40,521,521",0,0,,3,14.0,6.299,5,success,2,"10,10,523,580;521,36,521,522",0,0,,3,14.0,6.7258,0,0,0,0,0,0,0
leu,75,687343,601,1182,600,2,2,10.0,10.0,0.596|0.753,7,success,2,"3,0,618,598;571,0,611,600",1,1,split,1,,59.3714,3,success,2,"596,7,580,586;7,14,581,572",0,0,,2,10.0,0.0469,5,success,2,"596,7,580,586;7,14,581,572",0,0,,2,10.0,0.0332,0,0,0,0,1,0,0
leu,75,687362,620,1182,600,4,2,29.61,30.59,0.464|0.421,7,success,2,"19,17,555,564;603,27,551,535",0,0,,2,30.59,0.0335,3,success,2,"19,17,555,564;603,27,551,535",0,0,,2,30.59,0.0392,5,success,2,"19,17,555,564;603,27,551,535",0,0,,2,30.59,0.0316,1,0,1,0,0,0,0
leu,75,687380,638,1142,600,2,2,18.0,18.0,0.484|0.296,7,success,2,"588,28,540,549;14,15,557,571",0,0,,2,18.0,0.0299,3,success,2,"588,32,540,545;17,26,531,532",0,0,,2,18.0,7.1633,5,success,2,"588,28,540,549;14,15,557,571",0,0,,2,18.0,0.0319,0,0,1,0,0,0,0
leu,75,687399,657,1134,600,2,2,12.0,13.0,0.819|0.424,7,success,2,"0,5,575,595;557,14,577,586",1,1,split,1,,47.8495,3,success,2,"573,12,550,580;9,21,553,570",0,0,,2,13.0,0.0329,5,success,2,"573,12,550,580;9,21,553,570",0,0,,2,13.0,0.0362,0,0,0,0,1,0,0
leu,75,687418,676,1200,587,3,3,20.0,20.0,0.209|0.306,7,success,2,"15,23,582,549;613,31,571,538",0,0,,2,20.0,0.0357,3,success,2,"18,16,562,562;624,24,548,548",0,0,,3,20.0,20.0533,5,success,2,"15,23,582,549;625,27,545,545",0,0,,2,20.0,10.0307,0,0,0,0,0,0,0
leu,75,687437,695,1200,581,2,2,17.03,18.0,0.609|0.656,7,success,2,"599,14,590,556;11,12,575,558",0,0,,2,18.0,0.0386,3,success,2,"599,14,590,556;11,12,575,558",0,0,,2,18.0,0.0348,5,success,2,"599,14,590,556;11,12,575,558",0,0,,2,18.0,0.038,1,0,1,0,0,0,0
leu,75,687455,713,1109,600,7,3,18.0,19.1,0.605|0.126,7,success,2,"564,10,535,577;15,37,551,551",0,0,,2,19.1,9.8934,3,success,2,"564,10,535,577;34,59,530,530",0,0,,3,19.1,8.9528,5,success,2,"564,10,535,577;30,51,537,537",0,0,,2,19.1,8.9242,0,0,0,0,0,0,0
leu,75,687474,732,1191,600,4,4,10.0,10.0,0.187|0.08,7,success,2,"0,0,629,600;593,0,594,592",1,1,split,1,,57.2289,3,success,2,"8,28,582,564;598,18,585,563",0,0,,3,10.0,0.1081,5,success,3,"8,28,582,564;598,18,585,563;269,10,81,13",0,0,,4,10.0,0.1106,0,0,0,1,0,0,0
leu,75,687493,751,1193,600,4,6,13.0,14.0,0.083|0.018,7,success,2,"13,21,587,567;601,16,581,568",0,0,,2,2.0,0.0671,3,success,2,"35,52,532,532;640,43,506,506",0,0,,5,14.0,17.2761,5,success,2,"606,16,576,568;34,48,535,535",0,0,,3,13.0,9.2819,0,0,0,0,0,0,0
leu,75,687512,770,1107,600,3,4,9.0,9.0,0.599|0.065,7,success,2,"0,0,572,562;527,0,580,578",1,1,split,1,,42.9376,3,success,2,"6,10,543,581;557,7,544,587",0,0,,2,9.0,0.0861,5,success,2,"0,0,572,562;527,0,580,578",1,1,split,1,,42.822,0,0,1,0,0,0,0
leu,75,687530,788,1175,600,3,2,13.34,14.0,0.414|0.626,7,success,2,"9,15,583,571;604,10,562,581",0,0,,2,14.0,0.0389,3,success,2,"10,19,571,572;605,25,569,569",0,0,,2,14.0,22.1652,5,success,2,"9,19,572,572;604,10,562,581",0,0,,2,14.0,12.6199,0,0,0,0,0,0,0
leu,75,687549,807,1200,590,2,2,9.0,9.0,0.8|0.862,7,success,2,"0,0,586,590;563,0,636,590",1,1,split,1,,51.1148,3,success,2,"603,10,591,574;6,15,590,564",0,0,,2,9.0,0.0346,5,success,2,"0,0,586,590;563,0,636,590",1,1,split,1,,47.8781,0,0,1,0,1,0,1
leu,75,687568,826,1200,576,2,2,11.0,11.0,0.678|0.264,7,success,2,"23,0,596,576;597,0,600,576",1,1,split,1,,43.4392,3,success,2,"603,14,590,556;7,11,587,554",0,0,,2,11.0,0.034,5,success,2,"603,14,590,556;7,11,587,554",0,0,,2,11.0,0.0357,0,0,0,0,1,0,0
leu,75,687587,845,1200,585,2,2,9.0,9.0,0.61|0.595,7,success,2,"0,0,589,585;614,0,586,585",1,1,split,1,,130.6648,3,success,2,"6,14,596,557;610,7,583,572",0,0,,2,9.0,0.0308,5,success,2,"0,0,589,585;614,0,586,585",1,1,split,1,,125.6731,0,0,1,0,1,0,1
leu,75,687605,863,1175,600,2,2,9.0,9.0,0.66|0.66,7,success,2,"0,13,577,587;561,0,614,600",1,1,split,1,,49.5991,3,success,2,"584,9,585,585;6,8,571,586",0,0,,2,9.0,0.04,5,success,2,"0,13,577,587;561,0,614,600",1,1,split,1,,50.7216,0,0,1,0,1,0,1
