id,side,h,w,avg_bg,polarity,otsu_t,close_k,n_valid,n_need_recovery,n_will_hough,max_hough_roi_px,scan_wall_s,scan_cpu_s
755472,obv,1440,1500,31.18,BIN,123.0,7,5,5,5,1701630,0.38,0.588
755472,rev,1440,1500,30.08,BIN,121.0,7,14,14,14,1631304,2.409,2.941
755473,obv,1440,1500,30.65,BIN,135.0,7,4,3,3,12540,0.269,0.435
755473,rev,1440,1500,30.87,BIN,136.0,7,3,2,2,1311790,0.429,0.574
755475,obv,1440,1500,33.45,BIN,105.0,7,8,8,8,2040000,0.769,1.09
755475,rev,1440,1500,33.23,BIN,117.0,7,19,19,19,1601370,1.64,2.269
755476,obv,1440,1500,30.36,BIN,131.0,7,3,2,2,8424,0.169,0.302
755476,rev,1440,1500,31.69,BIN,130.0,7,10,10,10,1234880,1.039,1.447
755477,obv,1440,1500,31.26,BIN,113.0,7,36,36,36,1984500,2.611,3.84
755477,rev,1440,1500,30.34,BIN,120.0,7,13,13,13,1316156,1.646,2.152
755478,obv,1440,1500,34.66,BIN,124.0,7,13,13,13,1613677,1.319,1.842
755478,rev,1440,1500,34.42,BIN,103.0,7,3,3,3,2160000,0.355,0.525
755479,obv,1440,1500,29.81,BIN,116.0,7,7,7,7,2085000,0.806,1.127
755479,rev,1440,1500,29.72,BIN,124.0,7,5,4,4,5529,0.392,0.608
755480,obv,1440,1500,33.07,BIN,119.0,7,7,7,7,1964556,0.867,1.192
755480,rev,1440,1500,32.26,BIN,124.0,7,10,10,10,1419395,1.031,1.365
755481,obv,1440,1500,32.11,BIN,109.0,7,15,15,15,2154000,2.015,2.503
755481,rev,1440,1500,32.12,BIN,114.0,7,20,20,20,1976390,1.379,2.106
755482,obv,1440,1500,31.02,BIN,123.0,7,13,12,12,445588,0.906,1.416
755482,rev,1440,1500,31.35,BIN,126.0,7,5,4,4,330154,0.333,0.534
755483,obv,1440,1500,29.81,BIN,125.0,7,2,1,1,1591,0.201,0.305
755483,rev,1440,1500,28.77,BIN,124.0,7,3,2,2,3968,0.224,0.356
755484,obv,1440,1500,31.11,BIN,132.0,7,4,4,4,1338120,0.288,0.484
755484,rev,1440,1500,28.97,BIN,125.0,7,9,9,9,1307528,0.526,0.879
755485,obv,1440,1500,31.23,BIN,120.0,7,14,14,14,1333990,1.108,1.605
755485,rev,1440,1500,30.88,BIN,130.0,7,10,10,10,1268010,0.635,1.039
755486,obv,1440,1500,31.05,BIN,123.0,7,7,7,7,1507408,0.51,0.689
755486,rev,1440,1500,31.82,BIN,125.0,7,7,7,7,1489380,0.386,0.666
755487,obv,1440,1500,28.7,BIN,125.0,7,12,12,12,1525209,1.214,1.645
755487,rev,1440,1500,30.25,BIN,132.0,7,6,6,6,1368836,0.256,0.486
755489,obv,1440,1500,33.98,BIN,128.0,7,7,7,7,1370520,0.334,0.626
755489,rev,1440,1500,33.26,BIN,136.0,7,6,6,6,1167138,0.547,0.806
755490,obv,1440,1500,31.19,BIN,121.0,7,12,12,12,1568812,0.629,1.106
755490,rev,1440,1500,30.31,BIN,125.0,7,14,14,14,1360590,0.692,1.208
755491,obv,1440,1500,31.21,BIN,115.0,7,18,18,18,1958996,1.226,1.937
755491,rev,1440,1500,30.67,BIN,116.0,7,13,13,13,1945368,1.137,1.583
755492,obv,1440,1500,30.61,BIN,120.0,7,9,8,8,18360,0.407,0.748
755492,rev,1440,1500,29.75,BIN,119.0,7,7,6,6,13328,0.372,0.586
755493,obv,1440,1500,27.46,BIN,122.0,7,12,12,12,1380988,0.714,1.127
755493,rev,1440,1500,27.62,BIN,123.0,7,9,8,8,58156,0.517,0.876
755494,obv,1440,1500,28.02,BIN,113.0,7,42,41,41,898455,2.697,4.014
755494,rev,1440,1500,27.51,BIN,115.0,7,33,32,32,309725,1.529,2.559
755495,obv,1440,1500,30.51,BIN,108.0,7,15,15,15,2137500,1.964,2.451
755495,rev,1440,1500,30.4,BIN,114.0,7,20,20,20,1971905,1.129,1.825
755496,obv,1440,1500,30.83,BIN,118.0,7,14,14,14,1437240,0.585,1.049
755496,rev,1440,1500,30.21,BIN,122.0,7,5,4,4,19584,0.232,0.436
755497,obv,1440,1500,32.45,BIN,117.0,7,15,15,15,1732830,2.036,2.704
755497,rev,1440,1500,32.05,BIN,123.0,7,9,8,8,8400,0.488,0.862
