house,sale_id,lot_id,lot_number,w,h,blobs_pre_blur,blobs_pre_close,gap_pre_blur,gap_pre_close,circ_pre_close,control.kernel,control.status,control.ndets,control.bboxes,control.hough,control.tcr_triggered,control.tcr_status,control.blobs_post_close,control.gap_post_close,control.seconds,auto.kernel,auto.status,auto.ndets,auto.bboxes,auto.hough,auto.tcr_triggered,auto.tcr_status,auto.blobs_post_close,auto.gap_post_close,auto.seconds,auto.bbox_identical,auto.ndets_delta,control.weld,auto.weld
kuenker,428,736088,1354,2000,1053,4,4,18.0,17.0,0.892|0.818,7,success,3,"1008,64,992,989;0,66,992,987;945,0,108,88",0,0,,3,17.0,0.148,7,success,3,"1008,64,992,989;0,66,992,987;945,0,108,88",0,0,,3,17.0,0.1404,1,0,0,0
kuenker,428,736094,1360,2000,1064,4,4,21.0,21.59,0.892|0.891,7,success,3,"1008,74,985,990;7,76,981,979;945,0,108,88",0,0,,3,21.59,0.1579,7,success,3,"1008,74,985,990;7,76,981,979;945,0,108,88",0,0,,3,21.59,0.1551,1,0,0,0
kuenker,428,736099,1365,1876,1011,4,4,29.0,29.0,0.785|0.538,7,success,3,"946,97,923,907;9,101,914,899;894,-3,87,86",0,0,,3,29.0,0.1738,7,success,3,"946,97,923,907;9,101,914,899;894,-3,87,86",0,0,,3,29.0,0.1478,1,0,0,0
kuenker,428,736105,1371,2000,1058,4,4,17.0,18.11,0.796|0.788,7,success,3,"1010,67,990,991;0,68,994,983;944,0,111,90",0,0,,3,18.11,0.1857,7,success,3,"1010,67,990,991;0,68,994,983;944,0,111,90",0,0,,3,18.11,0.1778,1,0,0,0
kuenker,428,736111,1377,2000,1065,4,5,58.55,71.34,0.553|0.52,7,success,3,"1017,83,972,969;13,88,949,972;946,0,107,87",0,0,,3,57.01,0.159,7,success,3,"1017,83,972,969;13,88,949,972;946,0,107,87",0,0,,3,57.01,0.1626,1,0,0,0
kuenker,428,736117,1383,2000,1040,4,4,18.0,18.0,0.741|0.458,7,success,3,"0,58,991,973;1008,52,991,988;952,-2,95,93",0,0,,3,18.0,0.1579,7,success,3,"0,58,991,973;1008,52,991,988;952,-2,95,93",0,0,,3,18.0,0.1499,1,0,0,0
kuenker,428,736123,1389,2000,1056,4,4,16.0,16.0,0.78|0.604,7,success,3,"0,56,995,993;1010,56,990,1000;944,0,109,89",0,0,,3,16.0,0.1555,7,success,3,"0,56,995,993;1010,56,990,1000;944,0,109,89",0,0,,3,16.0,0.1956,1,0,0,0
kuenker,428,736128,1394,2000,1054,4,4,17.0,17.0,0.615|0.381,7,success,3,"1005,65,995,989;0,66,990,988;945,0,109,89",0,0,,3,17.0,0.1546,7,success,3,"1005,65,995,989;0,66,990,988;945,0,109,89",0,0,,3,17.0,0.1431,1,0,0,0
kuenker,428,736134,1400,2000,1066,5,4,39.46,33.0,0.369|0.586,7,success,3,"12,65,973,994;1016,74,984,975;953,-2,93,92",0,0,,3,33.0,0.1642,7,success,3,"12,65,973,994;1016,74,984,975;953,-2,93,92",0,0,,3,33.0,0.1827,1,0,0,0
kuenker,428,736140,1406,2000,1042,4,4,22.0,22.0,0.686|0.833,7,success,3,"1013,55,987,987;7,61,985,970;944,0,110,90",0,0,,3,22.0,0.2692,7,success,3,"1013,55,987,987;7,61,985,970;944,0,110,90",0,0,,3,22.0,0.1895,1,0,0,0
kuenker,428,736146,1412,2000,1055,4,4,18.0,18.0,0.626|0.515,7,success,3,"1007,67,993,988;3,67,987,988;945,0,109,89",0,0,,3,18.0,0.1623,7,success,3,"1007,67,993,988;3,67,987,988;945,0,109,89",0,0,,3,18.0,0.192,1,0,0,0
kuenker,428,736152,1418,2000,1057,8,8,44.0,44.0,0.109|0.186,7,success,3,"5,75,985,975;1008,68,987,985;944,0,109,89",0,0,,3,19.0,0.1988,7,success,3,"5,75,985,975;1008,68,987,985;944,0,109,89",0,0,,3,19.0,0.2099,1,0,0,0
kuenker,428,736157,1423,2000,1071,5,5,19.0,19.0,0.2|0.269,7,success,3,"1016,69,984,995;0,79,998,973;946,0,107,88",0,0,,3,19.0,0.2031,7,success,3,"1016,69,984,995;0,79,998,973;946,0,107,88",0,0,,3,19.0,0.1643,1,0,0,0
kuenker,428,736163,1429,2000,1077,4,4,22.0,22.0,0.597|0.463,7,success,3,"0,68,990,1009;1010,70,990,999;945,0,109,89",0,0,,3,22.0,0.1884,7,success,3,"0,68,990,1009;1010,70,990,999;945,0,109,89",0,0,,3,22.0,0.1694,1,0,0,0
kuenker,428,736169,1435,1849,1012,4,4,31.0,31.0,0.772|0.244,7,success,3,"8,100,914,903;946,97,903,908;873,0,102,83",0,0,,3,31.0,0.1505,7,success,3,"8,100,914,903;946,97,903,908;873,0,102,83",0,0,,3,31.0,0.2182,1,0,0,0
kuenker,428,736175,1441,1892,1033,4,4,25.0,25.0,0.672|0.855,7,success,3,"7,99,930,925;960,97,925,933;895,0,101,83",0,0,,3,25.0,0.2168,7,success,3,"7,99,930,925;960,97,925,933;895,0,101,83",0,0,,3,25.0,0.1963,1,0,0,0
kuenker,428,736181,1447,2000,1056,9,7,36.0,38.33,0.697|0.48,7,success,3,"1007,71,993,985;8,67,982,981;945,0,109,89",0,0,,3,18.0,0.1918,7,success,3,"1007,71,993,985;8,67,982,981;945,0,109,89",0,0,,3,18.0,0.1668,1,0,0,0
kuenker,428,736186,1452,2000,1064,4,4,18.0,18.0,0.694|0.531,7,success,3,"0,65,984,999;1000,69,1000,985;955,-2,91,90",0,0,,3,18.0,0.1575,7,success,3,"0,65,984,999;1000,69,1000,985;955,-2,91,90",0,0,,3,18.0,0.1663,1,0,0,0
kuenker,428,736192,1458,2000,1056,4,4,17.0,16.0,0.725|0.648,7,success,3,"1008,61,992,995;0,62,993,994;945,0,109,89",0,0,,3,16.76,0.1615,7,success,3,"1008,61,992,995;0,62,993,994;945,0,109,89",0,0,,3,16.76,0.1481,1,0,0,0
