id,side,off_value,off_bg_type,on_value,on_bg_type,ring_truth,off_err,on_err,off_thresh,on_thresh,crosses_110,value_changed
755478,rev,34.421,dark,75.0,dark,78.952,-44.531,-3.952,BINARY,BINARY,False,True
755479,obv,29.812,dark,75.0,dark,78.944,-49.132,-3.944,BINARY,BINARY,False,True
755479,rev,29.715,dark,75.0,dark,78.952,-49.237,-3.952,BINARY,BINARY,False,True
755480,obv,33.069,dark,75.0,dark,78.944,-45.875,-3.944,BINARY,BINARY,False,True
755480,rev,32.265,dark,75.0,dark,78.952,-46.687,-3.952,BINARY,BINARY,False,True
755481,obv,32.115,dark,75.0,dark,78.944,-46.829,-3.944,BINARY,BINARY,False,True
755481,rev,32.124,dark,75.0,dark,78.952,-46.828,-3.952,BINARY,BINARY,False,True
755482,obv,31.016,dark,75.0,dark,78.944,-47.928,-3.944,BINARY,BINARY,False,True
755482,rev,31.35,dark,75.0,dark,78.952,-47.602,-3.952,BINARY,BINARY,False,True
755483,obv,29.813,dark,75.0,dark,78.944,-49.13,-3.944,BINARY,BINARY,False,True
755483,rev,28.767,dark,75.0,dark,78.952,-50.185,-3.952,BINARY,BINARY,False,True
755484,obv,31.113,dark,75.0,dark,78.944,-47.831,-3.944,BINARY,BINARY,False,True
755484,rev,28.974,dark,75.0,dark,78.952,-49.978,-3.952,BINARY,BINARY,False,True
755485,obv,31.232,dark,75.0,dark,78.944,-47.712,-3.944,BINARY,BINARY,False,True
755485,rev,30.877,dark,75.0,dark,78.952,-48.075,-3.952,BINARY,BINARY,False,True
755486,obv,31.054,dark,75.0,dark,78.944,-47.889,-3.944,BINARY,BINARY,False,True
755486,rev,31.825,dark,75.0,dark,78.952,-47.127,-3.952,BINARY,BINARY,False,True
755487,obv,28.704,dark,75.0,dark,78.944,-50.24,-3.944,BINARY,BINARY,False,True
755487,rev,30.251,dark,75.0,dark,78.952,-48.701,-3.952,BINARY,BINARY,False,True
755489,obv,33.982,dark,75.0,dark,78.944,-44.961,-3.944,BINARY,BINARY,False,True
755489,rev,33.258,dark,75.0,dark,78.952,-45.694,-3.952,BINARY,BINARY,False,True
755490,obv,31.187,dark,75.0,dark,78.944,-47.757,-3.944,BINARY,BINARY,False,True
755490,rev,30.313,dark,75.0,dark,78.952,-48.639,-3.952,BINARY,BINARY,False,True
755491,obv,31.211,dark,75.0,dark,78.944,-47.733,-3.944,BINARY,BINARY,False,True
755491,rev,30.665,dark,75.0,dark,78.952,-48.286,-3.952,BINARY,BINARY,False,True
755492,obv,30.605,dark,75.0,dark,78.944,-48.339,-3.944,BINARY,BINARY,False,True
755492,rev,29.75,dark,75.0,dark,78.952,-49.202,-3.952,BINARY,BINARY,False,True
755493,obv,27.463,dark,75.0,dark,78.944,-51.481,-3.944,BINARY,BINARY,False,True
755493,rev,27.621,dark,75.0,dark,78.952,-51.331,-3.952,BINARY,BINARY,False,True
755494,obv,28.015,dark,75.0,dark,78.944,-50.928,-3.944,BINARY,BINARY,False,True
755494,rev,27.513,dark,75.0,dark,78.952,-51.438,-3.952,BINARY,BINARY,False,True
755495,obv,30.508,dark,75.0,dark,78.944,-48.436,-3.944,BINARY,BINARY,False,True
755495,rev,30.396,dark,75.0,dark,78.952,-48.556,-3.952,BINARY,BINARY,False,True
755496,obv,30.829,dark,75.0,dark,78.944,-48.115,-3.944,BINARY,BINARY,False,True
755496,rev,30.212,dark,75.0,dark,78.952,-48.74,-3.952,BINARY,BINARY,False,True
755497,obv,32.454,dark,75.0,dark,78.944,-46.49,-3.944,BINARY,BINARY,False,True
755497,rev,32.051,dark,75.0,dark,78.952,-46.9,-3.952,BINARY,BINARY,False,True
755498,obv,32.261,dark,75.0,dark,78.944,-46.682,-3.944,BINARY,BINARY,False,True
755498,rev,30.815,dark,75.0,dark,78.952,-48.137,-3.952,BINARY,BINARY,False,True
755499,obv,31.707,dark,75.0,dark,78.944,-47.237,-3.944,BINARY,BINARY,False,True
755499,rev,29.984,dark,75.0,dark,78.952,-48.967,-3.952,BINARY,BINARY,False,True
755500,obv,30.236,dark,75.0,dark,78.944,-48.708,-3.944,BINARY,BINARY,False,True
755500,rev,27.676,dark,75.0,dark,78.952,-51.275,-3.952,BINARY,BINARY,False,True
755501,obv,30.21,dark,75.0,dark,78.944,-48.734,-3.944,BINARY,BINARY,False,True
755501,rev,29.68,dark,75.0,dark,78.952,-49.271,-3.952,BINARY,BINARY,False,True
755502,obv,30.92,dark,75.0,dark,78.944,-48.024,-3.944,BINARY,BINARY,False,True
755502,rev,29.974,dark,75.0,dark,78.952,-48.978,-3.952,BINARY,BINARY,False,True
755503,obv,31.249,dark,75.0,dark,78.944,-47.695,-3.944,BINARY,BINARY,False,True
755503,rev,29.695,dark,75.0,dark,78.952,-49.257,-3.952,BINARY,BINARY,False,True
755504,obv,32.217,dark,75.0,dark,78.944,-46.726,-3.944,BINARY,BINARY,False,True
755504,rev,31.111,dark,75.0,dark,78.952,-47.841,-3.952,BINARY,BINARY,False,True
755505,obv,30.874,dark,75.0,dark,78.944,-48.07,-3.944,BINARY,BINARY,False,True
755505,rev,31.084,dark,75.0,dark,78.952,-47.868,-3.952,BINARY,BINARY,False,True
755506,obv,30.964,dark,75.0,dark,78.944,-47.98,-3.944,BINARY,BINARY,False,True
755506,rev,30.768,dark,75.0,dark,78.952,-48.184,-3.952,BINARY,BINARY,False,True
755507,obv,29.776,dark,75.0,dark,78.944,-49.167,-3.944,BINARY,BINARY,False,True
755507,rev,30.948,dark,75.0,dark,78.952,-48.004,-3.952,BINARY,BINARY,False,True
755508,obv,29.482,dark,75.0,dark,78.944,-49.462,-3.944,BINARY,BINARY,False,True
755508,rev,30.169,dark,75.0,dark,78.952,-48.783,-3.952,BINARY,BINARY,False,True
755509,obv,33.886,dark,75.0,dark,78.944,-45.058,-3.944,BINARY,BINARY,False,True
755509,rev,33.419,dark,75.0,dark,78.952,-45.533,-3.952,BINARY,BINARY,False,True
755510,obv,33.004,dark,75.0,dark,78.944,-45.939,-3.944,BINARY,BINARY,False,True
755510,rev,31.332,dark,75.0,dark,78.952,-47.62,-3.952,BINARY,BINARY,False,True
755511,obv,30.607,dark,75.0,dark,78.944,-48.337,-3.944,BINARY,BINARY,False,True
755511,rev,30.623,dark,75.0,dark,78.952,-48.329,-3.952,BINARY,BINARY,False,True
755512,obv,31.716,dark,75.0,dark,78.944,-47.228,-3.944,BINARY,BINARY,False,True
755512,rev,30.948,dark,75.0,dark,78.952,-48.004,-3.952,BINARY,BINARY,False,True
755513,obv,32.724,dark,75.0,dark,78.944,-46.219,-3.944,BINARY,BINARY,False,True
755513,rev,33.337,dark,75.0,dark,78.952,-45.615,-3.952,BINARY,BINARY,False,True
755514,obv,30.067,dark,75.0,dark,78.944,-48.877,-3.944,BINARY,BINARY,False,True
755514,rev,31.596,dark,75.0,dark,78.952,-47.356,-3.952,BINARY,BINARY,False,True
755515,obv,29.28,dark,75.0,dark,78.944,-49.664,-3.944,BINARY,BINARY,False,True
755515,rev,29.758,dark,75.0,dark,78.952,-49.193,-3.952,BINARY,BINARY,False,True
755516,obv,29.743,dark,75.0,dark,78.944,-49.201,-3.944,BINARY,BINARY,False,True
755516,rev,30.929,dark,75.0,dark,78.952,-48.023,-3.952,BINARY,BINARY,False,True
755517,obv,31.839,dark,75.0,dark,78.944,-47.105,-3.944,BINARY,BINARY,False,True
755517,rev,31.919,dark,75.0,dark,78.952,-47.033,-3.952,BINARY,BINARY,False,True
755518,obv,31.999,dark,75.0,dark,78.944,-46.945,-3.944,BINARY,BINARY,False,True
755518,rev,30.039,dark,75.0,dark,78.952,-48.913,-3.952,BINARY,BINARY,False,True
755519,obv,32.909,dark,75.0,dark,78.944,-46.034,-3.944,BINARY,BINARY,False,True
755519,rev,30.747,dark,75.0,dark,78.952,-48.205,-3.952,BINARY,BINARY,False,True
755521,obv,96.0,mixed,75.0,dark,78.944,17.056,-3.944,BINARY,BINARY,False,True
